Title,Release_year,Type,Streaming_platform,IMDB_ratings,Total_reviews,Genre,Runtime/Duration(mins),Age_rating,Production_country,url
Oppenheimer  (2023),2023,movie,Jio Cinema,8.4,676k,"History, Drama",180,UA,"United Kingdom, United States",https://www.justwatch.com/in/movie/oppenheimer
12th Fail  (2023),2023,movie,Hotstar,9.0,104k,"Drama, History",147,,India,https://www.justwatch.com/in/movie/12th-fail
Poor Things  (2023),2023,movie,,8.1,166k,"Comedy, Drama, Romance, Science-Fiction",141,A,"United States, Ireland, United Kingdom",https://www.justwatch.com/in/movie/poor-things
Sam Bahadur  (2023),2023,movie,Zee5,7.8,14k,"Drama, War and Military",150,UA,India,https://www.justwatch.com/in/movie/sam-bahadur
Anatomy of a Fall  (2023),2023,movie,,7.8,87k,"Mystery and Thriller, Crime, Drama",152,,France,https://www.justwatch.com/in/movie/anatomie-dune-chute
American Fiction  (2023),2023,movie,Amazon Prime Video,7.6,50k,"Comedy, Drama",117,,United States,https://www.justwatch.com/in/movie/untitled-cord-jefferson-film
The Zone of Interest  (2023),2023,movie,,7.5,53k,"Drama, History, War and Military",105,UA,"United Kingdom, United States, Poland",https://www.justwatch.com/in/movie/the-zone-of-interest
Sound of Freedom  (2023),2023,movie,Amazon Prime Video,7.7,110k,"Action and Adventure, Drama, History, Mystery and Thriller, Crime",131,,United States,https://www.justwatch.com/in/movie/sound-of-freedom
The Holdovers  (2023),2023,movie,,8.0,119k,"Comedy, Drama",133,,United States,https://www.justwatch.com/in/movie/the-holdovers
Killers of the Flower Moon  (2023),2023,movie,Apple TV Plus,7.6,221k,"Crime, History, Drama, Romance, Western",206,A,United States,https://www.justwatch.com/in/movie/killers-of-the-flower-moon
Past Lives  (2023),2023,movie,"Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel",7.9,102k,"Drama, Romance",106,UA,"South Korea, United States",https://www.justwatch.com/in/movie/past-lives
Neru  (2023),2023,movie,Hotstar,7.6,5k,"Drama, Mystery and Thriller",150,UA,India,https://www.justwatch.com/in/movie/neru
Godzilla Minus One  (2023),2023,movie,,8.3,45k,"Action and Adventure, Science-Fiction, Horror, Drama",125,,Japan,https://www.justwatch.com/in/movie/godzilla-minus-one
BlackBerry  (2023),2023,movie,Amazon Prime Video,7.4,38k,"Comedy, Drama, History",120,,Canada,https://www.justwatch.com/in/movie/blackberry
Hi Nanna  (2023),2023,movie,Netflix,8.2,14k,"Kids and Family, Romance, Drama",155,U,India,https://www.justwatch.com/in/movie/nani30
Sapta Sagaradaache Ello: Side B  (2023),2023,movie,Amazon Prime Video,8.1,2k,"Action and Adventure, Drama, Romance",148,UA,India,https://www.justwatch.com/in/movie/sapta-sagaradaache-ello-side-b
Mission: Impossible - Dead Reckoning Part One  (2023),2023,movie,Amazon Prime Video,7.7,238k,"Mystery and Thriller, Action and Adventure",164,,United States,https://www.justwatch.com/in/movie/mission-impossible-7
Leo  (2023),2023,movie,Netflix,7.2,57k,"Action and Adventure, Crime, Mystery and Thriller, Drama",163,UA,India,https://www.justwatch.com/in/movie/leo-2023
Parking  (2023),2023,movie,,7.9,9k,"Mystery and Thriller, Drama",127,UA,India,https://www.justwatch.com/in/movie/parking-2023
Wonka  (2023),2023,movie,,7.1,113k,"Kids and Family, Fantasy, Comedy",117,U,"United Kingdom, United States",https://www.justwatch.com/in/movie/wonka
Society of the Snow  (2023),2023,movie,Netflix,7.8,117k,"Drama, History, Mystery and Thriller",144,,"United States, Spain",https://www.justwatch.com/in/movie/society-of-the-snow
Dada  (2023),2023,movie,Amazon Prime Video,8.1,5k,"Comedy, Romance, Drama, Kids and Family",135,U,India,https://www.justwatch.com/in/movie/dada-2023
Talk to Me  (2023),2023,movie,Amazon Prime Video,7.1,135k,"Mystery and Thriller, Horror",95,,"Australia, United Kingdom",https://www.justwatch.com/in/movie/talk-to-me-2022
OMG 2  (2023),2023,movie,Netflix,7.6,39k,"Comedy, Drama",155,A,India,https://www.justwatch.com/in/movie/omg-2
Perfect Days  (2023),2023,movie,,7.9,22k,Drama,123,,"Germany, Japan",https://www.justwatch.com/in/movie/perfect-days
Kaathal – The Core  (2023),2023,movie,Amazon Prime Video,7.5,3k,"Drama, Crime",112,UA,India,https://www.justwatch.com/in/movie/kaathal-the-core
Raktabeej  (2023),2023,movie,Hoichoi,7.9,1k,"Action and Adventure, Drama, Mystery and Thriller, Crime",139,U,India,https://www.justwatch.com/in/movie/raktabeej
The Boy and the Heron  (2023),2023,movie,,7.6,46k,"Fantasy, Drama, Kids and Family, Animation",124,,Japan,https://www.justwatch.com/in/movie/kimitachi-wa-do-ikiru-ka
Spider-Man: Across the Spider-Verse  (2023),2023,movie,Netflix,8.6,355k,"Action and Adventure, Science-Fiction, Animation, Comedy, Kids and Family, Fantasy",117,UA,United States,https://www.justwatch.com/in/movie/spider-man-into-the-spider-verse-2
Jailer  (2023),2023,movie,"Amazon Prime Video, Sun Nxt",7.1,33k,"Crime, Mystery and Thriller, Comedy, Action and Adventure",165,UA,India,https://www.justwatch.com/in/movie/jailer
The Iron Claw  (2023),2023,movie,,7.7,43k,"Drama, Sport",132,,"United States, United Kingdom",https://www.justwatch.com/in/movie/the-iron-claw
Jokes & Cigarettes  (2023),2023,movie,,7.2,1k,Drama,117,,Spain,https://www.justwatch.com/in/movie/saben-aquell
John Wick: Chapter 4  (2023),2023,movie,"Lionsgate Play, Lionsgate Play Apple TV Channel, Lionsgate Play Amazon Channel",7.7,327k,"Crime, Action and Adventure, Mystery and Thriller",170,,"Germany, United States",https://www.justwatch.com/in/movie/john-wick-chapter-4
Chithha  (2023),2023,movie,Hotstar,8.2,6k,"Drama, Mystery and Thriller",140,,India,https://www.justwatch.com/in/movie/chittha
Guthlee Ladoo  (2023),2023,movie,Amazon Prime Video,7.7,1k,Drama,105,U,India,https://www.justwatch.com/in/movie/guthlee-ladoo
To Kill a Tiger  (2023),2023,movie,Netflix,7.6,1k,Documentary,128,,"Canada, United States",https://www.justwatch.com/in/movie/to-kill-a-tiger
Jigarthanda Double X  (2023),2023,movie,"Netflix, Sun Nxt",8.1,8k,"Action and Adventure, Comedy, Drama",172,UA,India,https://www.justwatch.com/in/movie/jigarthanda-doublex
The Super Mario Bros. Movie  (2023),2023,movie,Jio Cinema,7.1,199k,"Animation, Comedy, Kids and Family, Fantasy",92,U,"Japan, United States",https://www.justwatch.com/in/movie/super-mario-bros-the-movie
2018  (2023),2023,movie,Sony Liv,8.4,11k,"Action and Adventure, Mystery and Thriller, Drama",150,UA,India,https://www.justwatch.com/in/movie/2018-2023
All of Us Strangers  (2023),2023,movie,,7.8,32k,"Fantasy, Romance, Drama",106,,"United Kingdom, United States",https://www.justwatch.com/in/movie/all-of-us-strangers
Ghoomer  (2023),2023,movie,Zee5,7.6,11k,"Sport, Drama",135,,India,https://www.justwatch.com/in/movie/ghoomer
Kaatera  (2023),2023,movie,,7.6,2k,"Action and Adventure, Comedy, Drama, Kids and Family",183,UA,India,https://www.justwatch.com/in/movie/kaatera
Three of Us  (2023),2023,movie,Netflix,7.5,3k,Drama,99,,India,https://www.justwatch.com/in/movie/three-of-us
Shōgun  (2024),2024,series,Hotstar,9.2,28k,"Drama, War and Military, History",57,,United States,https://www.justwatch.com/in/tv-show/shogun-2024
Avatar: The Last Airbender  (2024),2024,series,Netflix,7.3,53k,"Science-Fiction, Action and Adventure, Fantasy, Comedy, Drama, Kids and Family",54,,United States,https://www.justwatch.com/in/tv-show/avatar-the-last-airbender
Solo Leveling  (2024),2024,series,Crunchyroll,8.5,10k,"Action and Adventure, Fantasy, Animation, Science-Fiction",24,,"Japan, South Korea",https://www.justwatch.com/in/tv-show/solo-leveling-2024
One Day  (2024),2024,series,Netflix,8.2,31k,"Comedy, Drama, Romance",29,A,United Kingdom,https://www.justwatch.com/in/tv-show/one-day
Poacher  (2023),2023,series,Amazon Prime Video,7.7,1k,"Crime, Drama",47,,"India, United States",https://www.justwatch.com/in/tv-show/poacher
Farzi  (2023),2023,series,Amazon Prime Video,8.4,44k,"Crime, Drama, Mystery and Thriller",56,,India,https://www.justwatch.com/in/tv-show/farzi
The Gentlemen  (2024),2024,series,Netflix,8.4,19k,"Action and Adventure, Comedy, Crime, Drama",50,A,"United States, United Kingdom",https://www.justwatch.com/in/tv-show/the-gentlemen
House of Ninjas  (2024),2024,series,Netflix,7.2,4k,"Action and Adventure, Drama, Mystery and Thriller",53,,Japan,https://www.justwatch.com/in/tv-show/house-of-ninjas
Mashle: Magic and Muscles  (2023),2023,series,Crunchyroll,7.6,5k,"Animation, Action and Adventure, Comedy, Fantasy, Science-Fiction",23,,Japan,https://www.justwatch.com/in/tv-show/mashle-magic-and-muscles
Masters of the Air  (2024),2024,series,Apple TV Plus,7.8,21k,"Drama, War and Military, Action and Adventure, Mystery and Thriller",54,A,United States,https://www.justwatch.com/in/tv-show/masters-of-the-air
The Last of Us  (2023),2023,series,Jio Cinema,8.7,507k,"Drama, Horror, Science-Fiction, Mystery and Thriller, Action and Adventure",58,A,United States,https://www.justwatch.com/in/tv-show/the-last-of-us
A Killer Paradox  (2024),2024,series,Netflix,7.2,4k,"Comedy, Crime, Mystery and Thriller",53,,South Korea,https://www.justwatch.com/in/tv-show/a-killer-paradox
The Railway Men - The Untold Story of Bhopal 1984  (2023),2023,series,Netflix,8.5,20k,"Drama, History, Mystery and Thriller",59,,India,https://www.justwatch.com/in/tv-show/the-railway-men-the-untold-story-of-bhopal-1984
The Freelancer  (2023),2023,series,Hotstar,8.1,6k,"Action and Adventure, Mystery and Thriller, Drama",50,,India,https://www.justwatch.com/in/tv-show/the-freelancer
ONE PIECE  (2023),2023,series,Netflix,8.3,144k,"Action and Adventure, Science-Fiction, Comedy, Drama, Fantasy",56,,United States,https://www.justwatch.com/in/tv-show/one-piece-2023
Jab Mila Tu  (2024),2024,series,Jio Cinema,7.8,5k,"Romance, Drama",25,,India,https://www.justwatch.com/in/tv-show/jab-mila-tu
My Demon  (2023),2023,series,Netflix,7.7,7k,"Science-Fiction, Romance, Comedy, Drama, Fantasy",66,,South Korea,https://www.justwatch.com/in/tv-show/my-demon
Blue Eye Samurai  (2023),2023,series,Netflix,8.8,60k,"Mystery and Thriller, Animation, Action and Adventure, Drama, History",47,A,United States,https://www.justwatch.com/in/tv-show/blue-eye-samurai
Marry My Husband  (2024),2024,series,Amazon Prime Video,7.9,3k,"Fantasy, Romance, Comedy, Drama, Science-Fiction",63,,South Korea,https://www.justwatch.com/in/tv-show/marry-my-husband
